,State,2007_total,2008_total,2009_total,2010_total,2011_total,2012_total,2013_total,2014_total,2015_total,2016_total,2017_total
0,AK,130546.44999999998,134206.79,144303.86,137213.68,155552.25,173407.88,183031.77000000002,205120.33,205426.97999999998,198613.46,191518.78999999998
1,AL,658.6,880.86,698.48,708.9300000000001,2469.02,8985.74,18512.72,23497.47,28118.219999999998,45634.47,48147.0
2,AR,3134.92,3417.91,3630.55,4095.84,3651.21,1399.8700000000001,1644.35,4244.6900000000005,9447.32,16887.29,20550.07
3,AZ,38160.75,40474.66,41327.14,51591.020000000004,66804.31,82369.93,100156.20999999999,127032.11,148899.89,172509.43,180566.02
4,CA,22371829.680000003,22149408.23,21578008.659999996,21352469.75,20435612.900000002,21277284.93,20288089.759999998,20447937.47,20047254.13,19936208.6,19062640.42
5,CO,24244667.48,26795857.25,23430824.16,21072663.560000002,21158332.57,21616668.84,20786350.24,20316240.1,19960257.58,20144881.92,19668103.41
6,CT,9215.380000000001,8043.24,10699.41,13634.27,16143.130000000001,15098.05,43805.990000000005,86225.32999999999,131654.5,143886.93,229339.31
7,DC,2905.21,3690.1,3578.2200000000003,5125.22,6266.299999999999,9234.95,14132.83,8770.029999999999,25354.77,28119.940000000002,26122.120000000003
8,DE,61922.49,85091.87,113509.11,140179.80000000002,170173.57,197736.4,226654.40000000002,252615.88,265838.77999999997,260003.63,297912.93
9,FL,9216011.360000001,9497348.84,10332508.879999999,10487167.71,10675121.45,11034291.18,10788489.819999998,10687665.969999999,11126546.52,11303374.68,11040838.270000001
10,GA,14492530.77,14876026.670000002,15691960.09,14844298.45,15187089.67,15485214.080000002,15231622.61,14423428.43,13351092.85,14032773.030000001,13976752.95
11,HI,17788.64,18279.07,20026.54,24687.57,34176.869999999995,34825.98,33288.65,36002.39,47199.33,58366.03999999999,70683.61
12,IA,9037.880000000001,10882.43,11836.169999999998,14195.45,17306.71,19397.32,24766.89,35216.39,40074.26,41978.85999999999,62951.479999999996
13,ID,15012.119999999999,14375.57,14759.119999999999,17067.46,19462.87,25806.18,31063.39,36770.21,45931.740000000005,39531.68,41855.66
14,IL,737646.21,793396.36,984684.43,1018338.45,997488.49,870670.83,1038729.59,1183623.97,1437772.58,1597355.13,1444844.68
15,IN,91129.57,27505.18,33638.729999999996,47370.28,66918.53,94651.29999999999,112379.85999999999,131175.53,154734.77000000002,172603.47,174956.67
16,KS,8626.03,9657.23,10697.21,15574.640000000001,22964.38,22127.53,24768.370000000003,30732.47,33716.51,35750.880000000005,36927.36
17,KY,124754.63,86750.81,87911.83,81894.25,72621.24,87285.46999999999,104317.10999999999,117144.0,137731.49,144009.97,172639.24
18,LA,77229.69,82888.25,94827.22,116933.95,136121.43,156162.25,166118.6,180407.99,188208.41999999998,175596.0,169463.25
19,MA,136058.08000000002,141228.3,160403.22999999998,182705.99,221097.91,249439.08000000002,266433.94,272516.74,308775.58999999997,386392.58999999997,457025.30999999994
20,MD,77306.11,78067.98999999999,80455.15,99676.12,119934.70000000001,128532.53,150409.74,169797.03,195823.31,201781.91999999998,206675.71
21,ME,125690.20000000001,124561.96999999999,127199.43000000002,153625.63,199224.37,228814.81,241521.53999999998,255640.85,269120.17000000004,284716.99,278803.65
22,MI,145741.38,179731.46000000002,213342.23,271135.95,370620.74,495463.27999999997,528592.8300000001,748711.49,928691.3800000001,1061074.2400000002,1239008.4100000001
23,MN,252157.19,294583.56,296580.23000000004,300340.98,369906.81,359990.48,398404.77,453098.64,504622.45999999996,515723.82999999996,544417.92
24,MO,15558205.420000002,15666713.71,14825536.84,13651924.27,13411890.25,13842109.329999998,13541336.02,13272023.0,13393356.879999999,13508905.49,12974659.18
25,MS,2529.62,4281.97,7112.450000000001,10447.21,13526.93,14536.82,16991.34,21136.059999999998,23990.35,20197.61,18777.160000000003
26,MT,68427.48999999999,70886.51999999999,73975.47,86880.16,101221.28,108485.36,114920.20999999999,129535.15000000001,150795.77,146793.13,148472.83
27,NC,7872935.1899999995,7566564.64,7911036.069999999,7867825.83,7632201.57,7808382.32,7525923.51,7301947.41,7384627.16,4057075.1500000004,1275942.48
28,ND,609.06,648.33,626.62,1322.19,3506.81,2181.65,1374.55,1346.63,7670.219999999999,5449.08,355955.76
29,NE,10397.45,9243.650000000001,11674.58,16031.29,18998.23,19621.8,12306.42,30142.800000000003,27554.47,38149.64,42711.31999999999
30,NH,3094768.14,3122250.3000000003,3161261.8,3231805.67,3104854.52,3299032.03,3242271.27,3119578.6799999997,3212845.49,3171750.6,3065385.39
31,NJ,7310793.91,7094891.910000001,7014532.57,7470907.48,6473745.7700000005,5081018.95,4713115.71,4770147.09,3663908.7600000002,3072114.2800000003,2853399.56
32,NM,15519.78,17676.370000000003,23053.16,29747.480000000003,38113.77,43842.92,47073.31,61494.17,70861.52,71724.70999999999,91056.70999999999
33,NV,29915.36,30497.199999999997,28687.4,31300.11,25481.58,23972.829999999998,24876.81,30642.090000000004,32888.62,32214.579999999998,32781.61
34,NY,7503046.58,7759158.01,6969968.51,6971749.68,6398720.649999999,7519018.109999999,7865985.68,7384877.51,7852161.17,8180227.630000001,8100138.2
35,OH,19785181.14,19731990.019999996,19823854.17,20314244.66,20208667.959999997,19119681.66,18384639.73,18701264.71,19718831.14,19638546.060000002,19184754.5
36,OK,5882.599999999999,5242.08,7484.8099999999995,8913.3,9972.98,10732.39,10363.48,14190.27,21460.78,23765.14,23311.78
37,OR,747691.64,847102.6299999999,930507.46,1028220.51,1162770.3,1258480.56,1390463.92,1549637.24,1666770.46,1712249.53,1782612.92
38,PA,2715447.79,3031892.75,3240149.1100000003,3710529.1,4241735.34,4613268.62,5210510.58,5521786.71,5341730.46,4945013.04,4648235.24
39,RI,4105.37,3365.31,3198.41,5638.28,5964.3099999999995,6842.13,10186.52,10487.740000000002,10523.98,15602.890000000001,29242.53
40,SC,11107.150000000001,12920.17,13827.27,16997.09,25578.92,31640.190000000002,38540.72,44105.630000000005,55140.17,64297.409999999996,71375.98
41,SD,1853.52,1451.8200000000002,1419.25,1772.62,2160.11,2719.09,3282.34,4045.08,5166.110000000001,6759.85,9307.19
42,TN,18997.78,22539.97,23058.519999999997,26734.55,28351.16,418767.71,602069.79,766656.1699999999,1179493.48,1224388.12,1387056.75
43,TX,19885540.56,19775713.189999998,20161027.63,20139848.069999997,20097795.6,19094530.419999998,19420798.640000004,19911750.639999997,19251114.9,19757170.27,19301583.87
44,UT,52378.16,55864.65,54471.86,63103.11,80264.23000000001,109858.94,130191.72,158911.15,176776.43,185172.22999999998,189032.34
45,VA,15208583.43,15520689.969999999,14670255.24,13974504.619999997,13709452.530000001,14594255.87,14038364.370000001,13320192.09,12244671.99,12533844.77,14244426.709999999
46,VT,268166.68,293983.25,307221.74,357319.79,384472.42,374337.29,372976.4199999999,354325.76,364597.51,301825.06,282831.25
47,WA,330682.02,313106.04,299050.86,344398.8,358348.2,374410.41,418246.64,456539.56,500213.57,470084.02,453999.54999999993
48,WI,8540326.84,8257468.16,10301698.61,11387276.4,10003428.510000002,9941958.409999998,10129311.329999998,10184621.469999999,10062765.200000001,10208869.649999999,10347261.639999999
49,WV,2863.33,3541.32,2537.4700000000003,3151.9700000000003,3392.47,3724.99,4628.3,5624.58,10354.63,10642.57,10709.86
50,WY,4898.63,6791.700000000001,6860.040000000001,8183.48,10150.630000000001,11860.53,13516.76,13960.189999999999,18484.84,29645.230000000003,36323.24
51,total,181440615.43000004,184682830.21,183361498.02,181211633.32,178074512.74,180401336.64999998,178086406.95,177386924.72,176041049.66,174430252.69,170604089.81
