State,2007_barrels,2008_barrels,2009_barrels,2010_barrels,2011_barrels,2012_barrels,2013_barrels,2014_barrels,2015_barrels,2016_barrels,2017_barrels
AK,48706.76,50920.35,52278.05,54395.32,58519.66,65679.13,68867.58,73823.62,74606.28,69473.78,66217.06
AL,,157.33,459.88,547.69,1810.06,6453.45,11747.74,13749.96,11465.23,11846.23,8716.57
AR,892.27,882.83,1081.95,1318.17,1144.17,125.94,1078.21,2787.48,6965.83,9058.30,3754.97
AZ,16159.29,18635.98,18303.18,24410.52,32848.92,44792.72,59074.04,80214.06,74997.94,71863.70,70369.43
CA,2031592.76,2005517.01,2070667.22,2198550.10,2166028.35,2272768.96,2388676.84,2330092.84,2220498.84,2165833.96,2144580.39
CO,2203524.91,2564428.26,2285814.82,2279812.02,2277201.65,2290799.82,2177094.68,2207491.04,2083226.02,1898362.52,1560985.12
CT,3347.21,3851.71,5471.25,6823.23,8033.77,6849.69,20486.04,33903.03,38194.71,47595.20,91759.81
DC,,,,1366.16,4257.53,5934.43,8335.80,,8925.18,9664.33,8165.04
DE,19561.75,25709.65,37560.36,48117.54,57886.92,65524.44,75629.27,82037.96,83489.86,78225.11,74403.02
FL,1168248.81,1188745.72,1297356.04,1247064.73,1287687.46,1289450.36,1260567.42,1242022.65,1245516.38,1186318.43,1172084.57
GA,370951.41,412159.15,578799.07,518567.58,482677.65,480930.15,545302.04,489713.84,463799.45,533283.65,499703.70
HI,12167.94,13159.64,13292.91,15488.55,19606.37,19391.33,18107.58,21582.44,25424.30,28641.98,32067.39
IA,1621.63,2113.46,2634.37,3780.36,6320.58,8572.43,13243.72,21448.89,15321.13,7700.13,10480.85
ID,6120.91,6279.71,6797.91,6834.92,7749.54,11316.83,15294.81,17477.57,16864.87,16296.75,17022.91
IL,33285.69,39678.85,46856.93,63152.26,64148.06,60573.70,68420.11,145486.79,214051.58,243183.00,227849.94
IN,8462.19,11103.64,14744.42,23055.64,36461.47,48867.09,61510.42,66614.28,66387.49,68150.00,62341.23
KS,1167.72,1521.34,1857.82,3107.42,5670.63,4768.33,6125.65,7418.78,8041.30,9585.41,9691.73
KY,3259.96,4568.13,5312.00,8190.89,9276.72,11795.65,19416.85,24748.10,30952.49,30049.37,32458.90
LA,25891.84,28163.29,34585.32,43767.95,53422.01,56196.18,62679.68,69442.53,72007.58,61638.35,53089.23
MA,77178.19,79385.94,84522.98,98121.54,119862.81,131474.98,126580.10,128941.15,149185.25,138987.97,158209.84
MD,21163.30,23321.62,24036.23,29123.06,38254.66,46213.33,52907.04,58176.63,64705.32,68486.52,69714.09
ME,38834.04,42649.45,47649.73,58015.64,77600.43,97285.94,110683.11,116113.35,117491.36,120823.77,116582.25
MI,59678.65,74309.35,94996.80,118799.27,148703.06,185386.44,227414.70,297520.14,330798.01,329891.64,347333.87
MN,56176.96,62497.37,67335.83,79534.59,101033.14,115956.35,133102.69,154949.51,154250.32,159728.02,158434.17
MO,1648121.55,1527439.40,1382551.86,1183200.36,1119507.94,1019244.02,942359.26,891963.11,881247.94,913652.28,838431.42
MS,2468.14,2329.33,3585.07,5258.34,6867.94,6481.96,6907.14,7726.08,5999.23,5060.32,4474.17
MT,34436.33,36944.52,35824.92,41261.22,46957.49,50865.95,54321.28,58998.91,53876.38,50679.09,47196.87
NC,905166.19,834274.14,766996.13,903892.92,1010647.87,1054976.57,988300.04,971829.71,991004.06,561127.20,285887.29
ND,,,,590.57,2601.31,,,,3456.60,1867.45,349187.87
NE,3623.24,3524.26,4091.47,5688.77,7000.95,7244.52,3840.44,13753.51,10422.01,14472.86,13928.55
NH,355237.90,331130.43,338988.75,341517.58,364000.89,365463.83,381402.55,367976.50,347827.51,317004.98,292540.18
NJ,518953.23,489576.07,487051.21,544599.19,559276.11,502680.99,443199.05,447843.58,423001.17,376621.44,367728.90
NM,6123.00,5965.50,7739.68,7838.24,10594.14,12803.35,15093.44,21957.12,26192.78,27804.17,34733.93
NV,14658.54,14809.07,13983.77,14741.33,7871.97,4993.73,5702.72,8085.97,5161.63,8279.46,10871.80
NY,795940.87,749430.78,650087.06,583310.58,604493.47,668632.48,674239.50,596752.77,589153.27,566871.56,519575.61
OH,1684507.38,1708860.22,1895495.69,2033529.73,1886886.80,1790342.28,1726077.24,1643427.98,1628062.64,1457112.02,1383108.87
OK,561.61,939.98,2578.47,3395.64,4025.32,4826.95,4840.77,6110.00,4539.32,5642.57,5409.25
OR,267558.25,302197.16,325659.16,341505.24,357821.43,375659.57,415935.76,479575.19,489128.91,477381.22,641503.34
PA,594726.99,772329.90,953285.76,998172.50,1081543.30,1168462.04,1172679.83,1244846.05,1156462.98,1035752.73,946030.75
RI,3112.50,2347.00,2430.00,3236.99,3371.00,4104.34,5174.14,4551.43,3969.48,3675.99,6897.17
SC,4950.87,6193.71,6192.25,7558.60,11769.84,15831.87,18103.48,19762.34,19492.06,13380.82,20617.92
SD,907.00,572.00,559.00,586.00,1237.88,1521.50,1753.50,1923.75,2406.63,2606.53,2629.42
TN,8598.27,10155.49,10982.71,12988.82,17597.04,28387.58,31767.12,60753.94,87084.56,72261.38,54337.67
TX,1088767.77,1094276.99,1131030.13,1143881.77,1152638.24,1144585.80,1038542.78,1060536.45,1037119.99,1073417.23,1056728.18
UT,25539.65,26717.11,25943.15,29194.74,34548.18,43143.32,45937.83,51425.32,54961.49,54169.39,54184.15
VA,1519072.07,1425448.78,1186492.73,1152090.46,1165692.37,1175467.01,1134449.57,1048495.09,1017740.25,1253898.31,1460389.77
VT,66877.72,70621.02,86533.33,105473.36,91368.48,98154.92,98852.28,93531.96,89387.18,68330.18,61269.24
WA,175030.00,165425.08,155111.48,195436.87,218671.75,240103.86,274558.65,297547.82,291509.70,251896.07,221401.83
WI,1129963.27,1039757.77,1191461.86,1130525.73,981225.81,1038914.37,1071651.35,1066520.15,937817.99,1010565.53,1092635.01
WV,853.65,1655.04,1725.47,2582.42,3264.98,3701.81,4525.59,5160.63,6640.44,3835.30,3564.32
WY,2749.59,2989.71,2489.98,3852.33,5055.71,5752.17,7216.88,8379.14,9671.70,8328.08,8312.15
total,17066499.77,17285670.24,17461286.16,17725898.72,17817251.15,18157777.56,18097967.51,18176128.25,17750504.62,17000382.28,16779591.71
